ID_LOG,TIMESTAMP_DECISAO,COMANDO_BOMBA,FONTE_DECISAO,CONDICAO_METEO_DESC,UMIDADE_AR_API,TEMPERATURA_API,ID_TEMPO_API
24,2024-06-21 20:08:52.800,LIGAR_BOMBA,Sintetico,Céu Limpo,77.1,16.26,217
25,2024-06-21 21:01:26.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,89.84,15.88,411
26,2024-06-21 21:54:00.000,DESLIGAR_BOMBA,Sintetico,Nublado,80.05,9.03,764
27,2024-06-21 22:46:33.600,DESLIGAR_BOMBA,Sintetico,Nublado,71.34,10.95,524
28,2024-06-21 23:39:07.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.97,16.94,790
29,2024-06-22 00:31:40.800,DESLIGAR_BOMBA,Sintetico,Nublado,74.85,11.23,688
30,2024-06-22 01:24:14.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,82.61,15.22,481
31,2024-06-22 02:16:48.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,81.12,12.59,670
32,2024-06-22 03:09:21.600,DESLIGAR_BOMBA,Sintetico,Nublado,74.43,10.98,613
33,2024-06-22 04:01:55.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,88.09,12.87,230
34,2024-06-22 04:54:28.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,89.32,12.56,327
35,2024-06-22 05:47:02.400,DESLIGAR_BOMBA,Sintetico,Nublado,78.84,12.27,427
36,2024-06-22 06:39:36.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,82.27,14.28,270
37,2024-06-22 07:32:09.600,DESLIGAR_BOMBA,Sintetico,Nublado,82.18,13.16,320
38,2024-06-22 08:24:43.200,DESLIGAR_BOMBA,Sintetico,Nublado,78.08,11.96,398
39,2024-06-22 09:17:16.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,82.17,13.21,707
40,2024-06-22 10:09:50.400,LIGAR_BOMBA,Sintetico,Céu Limpo,75.74,14.93,309
41,2024-06-22 11:02:24.000,LIGAR_BOMBA,Sintetico,Nublado,73.84,12.69,412
42,2024-06-22 11:54:57.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,79.25,12.08,756
43,2024-06-22 12:47:31.200,DESLIGAR_BOMBA,Sintetico,Chuvoso,85.54,11.46,693
44,2024-06-22 13:40:04.800,DESLIGAR_BOMBA,Sintetico,Nublado,80.08,9.33,780
45,2024-06-22 14:32:38.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,85.22,12.55,465
46,2024-06-22 15:25:12.000,LIGAR_BOMBA,Sintetico,Céu Limpo,72.25,16.87,675
47,2024-06-22 16:17:45.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,89.57,12.45,794
48,2024-06-22 17:10:19.200,DESLIGAR_BOMBA,Sintetico,Chuvoso,85.13,11.2,518
49,2024-06-22 18:02:52.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,76.1,11.72,471
50,2024-06-22 18:55:26.400,LIGAR_BOMBA,Sintetico,Nublado,70.88,14.55,419
51,2024-06-22 19:48:00.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,85.69,15.98,524
52,2024-06-22 20:40:33.600,LIGAR_BOMBA,Sintetico,Céu Limpo,75.12,16.14,801
53,2024-06-22 21:33:07.200,DESLIGAR_BOMBA,Sintetico,Nublado,71.5,9.96,315
54,2024-06-22 22:25:40.800,LIGAR_BOMBA,Sintetico,Céu Limpo,75.28,16.03,799
55,2024-06-22 23:18:14.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,80.94,12.99,725
56,2024-06-23 00:10:48.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,81.57,15.41,724
57,2024-06-23 01:03:21.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,72.32,11.63,392
58,2024-06-23 01:55:55.200,DESLIGAR_BOMBA,Sintetico,Nublado,76.94,10.61,636
59,2024-06-23 02:48:28.800,DESLIGAR_BOMBA,Sintetico,Nublado,80.78,9.25,796
60,2024-06-23 03:41:02.400,LIGAR_BOMBA,Sintetico,Céu Limpo,73.61,16.99,294
61,2024-06-23 04:33:36.000,DESLIGAR_BOMBA,Sintetico,Chuvoso,85.48,8.41,600
62,2024-06-23 05:26:09.600,DESLIGAR_BOMBA,Sintetico,Nublado,79.3,10.17,508
63,2024-06-23 06:18:43.200,DESLIGAR_BOMBA,Sintetico,Nublado,82.13,13.22,308
64,2024-06-23 07:11:16.800,DESLIGAR_BOMBA,Sintetico,Chuvoso,89.85,8.42,632
65,2024-06-23 08:03:50.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,89.47,16.21,249
66,2024-06-23 08:56:24.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,89.3,14.29,269
67,2024-06-23 09:48:57.600,DESLIGAR_BOMBA,Sintetico,Nublado,81.09,10.88,226
68,2024-06-23 10:41:31.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,84.58,15.69,358
69,2024-06-23 11:34:04.800,LIGAR_BOMBA,Sintetico,Céu Limpo,73.76,13.1,424
70,2024-06-23 12:26:38.400,LIGAR_BOMBA,Sintetico,Céu Limpo,77.79,12.99,670
71,2024-06-23 13:19:12.000,DESLIGAR_BOMBA,Sintetico,Nublado,74.74,10.45,468
72,2024-06-23 14:11:45.600,DESLIGAR_BOMBA,Sintetico,Chuvoso,86.39,9.92,555
73,2024-06-23 15:04:19.200,DESLIGAR_BOMBA,Sintetico,Nublado,72.38,9.35,480
74,2024-06-23 15:56:52.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,81.89,15.37,397
75,2024-06-23 16:49:26.400,LIGAR_BOMBA,Sintetico,Céu Limpo,73.46,14.67,520
76,2024-06-23 17:42:00.000,DESLIGAR_BOMBA,Sintetico,Nublado,70.55,11.79,462
77,2024-06-23 18:34:33.600,LIGAR_BOMBA,Sintetico,Céu Limpo,77.25,15.91,404
78,2024-06-23 19:27:07.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,86.85,14.48,250
79,2024-06-23 20:19:40.800,DESLIGAR_BOMBA,Sintetico,Chuvoso,87.93,13.51,523
80,2024-06-23 21:12:14.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,84.07,14.99,446
81,2024-06-23 22:04:48.000,DESLIGAR_BOMBA,Sintetico,Nublado,72.41,9.94,582
82,2024-06-23 22:57:21.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.42,15.06,660
83,2024-06-23 23:49:55.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,87.82,11.45,277
84,2024-06-24 00:42:28.800,DESLIGAR_BOMBA,Sintetico,Nublado,79.62,10.71,564
85,2024-06-24 01:35:02.400,LIGAR_BOMBA,Sintetico,Nublado,75.65,14.17,803
86,2024-06-24 02:27:36.000,DESLIGAR_BOMBA,Sintetico,Chuvoso,89.08,9.15,624
87,2024-06-24 03:20:09.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,86.76,11.73,646
88,2024-06-24 04:12:43.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,74.59,11.41,200
89,2024-06-24 05:05:16.800,LIGAR_BOMBA,Sintetico,Nublado,70.41,12.2,248
90,2024-06-24 05:57:50.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,84.72,16.14,478
91,2024-06-24 06:50:24.000,LIGAR_BOMBA,Sintetico,Céu Limpo,70.73,13.59,228
92,2024-06-24 07:42:57.600,LIGAR_BOMBA,Sintetico,Nublado,70.73,14.98,405
93,2024-06-24 08:35:31.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,81.37,12.79,359
94,2024-06-24 09:28:04.800,LIGAR_BOMBA,Sintetico,Céu Limpo,72.5,12.24,659
95,2024-06-24 10:20:38.400,DESLIGAR_BOMBA,Sintetico,Nublado,78.37,14.61,248
96,2024-06-24 11:13:12.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,81.79,11.48,331
97,2024-06-24 12:05:45.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,81.74,14.75,277
98,2024-06-24 12:58:19.200,LIGAR_BOMBA,Sintetico,Céu Limpo,77.85,16.15,605
99,2024-06-24 13:50:52.800,LIGAR_BOMBA,Sintetico,Céu Limpo,74.23,13.07,270
100,2024-06-24 14:43:26.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,80.06,13.14,521
101,2024-06-24 15:36:00.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,77.96,11.28,532
102,2024-06-24 16:28:33.600,LIGAR_BOMBA,Sintetico,Nublado,71.38,13.11,689
103,2024-06-24 17:21:07.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,85.97,14.46,538
104,2024-06-24 18:13:40.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,78.76,14.27,655
105,2024-06-24 19:06:14.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,88.38,13.92,482
106,2024-06-24 19:58:48.000,LIGAR_BOMBA,Sintetico,Céu Limpo,77.64,13.87,446
107,2024-06-24 20:51:21.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,84.24,14.9,405
108,2024-06-24 21:43:55.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,82.1,14.81,445
109,2024-06-24 22:36:28.800,LIGAR_BOMBA,Sintetico,Nublado,73.58,12.72,711
110,2024-06-24 23:29:02.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,80.25,14.61,302
111,2024-06-25 00:21:36.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,74.89,11.82,292
112,2024-06-25 01:14:09.600,DESLIGAR_BOMBA,Sintetico,Nublado,75.04,9.67,644
113,2024-06-25 02:06:43.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.24,12.93,782
114,2024-06-25 02:59:16.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.1,14.16,667
115,2024-06-25 03:51:50.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,87.13,16.74,472
116,2024-06-25 04:44:24.000,DESLIGAR_BOMBA,Sintetico,Nublado,75.98,11.62,492
117,2024-06-25 05:36:57.600,LIGAR_BOMBA,Sintetico,Céu Limpo,75.25,16.79,643
118,2024-06-25 06:29:31.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,70.7,11.43,658
119,2024-06-25 07:22:04.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,81.65,15.68,690
120,2024-06-25 08:14:38.400,LIGAR_BOMBA,Sintetico,Céu Limpo,70.95,16.74,681
121,2024-06-25 09:07:12.000,DESLIGAR_BOMBA,Sintetico,Nublado,81.28,9.09,474
122,2024-06-25 09:59:45.600,DESLIGAR_BOMBA,Sintetico,Nublado,77.39,11.5,546
123,2024-06-25 10:52:19.200,LIGAR_BOMBA,Sintetico,Céu Limpo,71.32,12.0,345
124,2024-06-25 11:44:52.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.94,16.63,222
125,2024-06-25 12:37:26.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,85.86,8.98,732
126,2024-06-25 13:30:00.000,LIGAR_BOMBA,Sintetico,Nublado,77.65,14.22,661
127,2024-06-25 14:22:33.600,LIGAR_BOMBA,Sintetico,Céu Limpo,77.72,13.6,714
128,2024-06-25 15:15:07.200,DESLIGAR_BOMBA,Sintetico,Nublado,78.37,12.89,608
129,2024-06-25 16:07:40.800,DESLIGAR_BOMBA,Sintetico,Chuvoso,89.06,12.49,610
130,2024-06-25 17:00:14.400,LIGAR_BOMBA,Sintetico,Céu Limpo,74.5,14.3,406
131,2024-06-25 17:52:48.000,DESLIGAR_BOMBA,Sintetico,Nublado,75.37,10.65,447
132,2024-06-25 18:45:21.600,DESLIGAR_BOMBA,Sintetico,Nublado,75.49,9.73,420
133,2024-06-25 19:37:55.200,LIGAR_BOMBA,Sintetico,Céu Limpo,75.35,15.58,413
134,2024-06-25 20:30:28.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,79.84,11.27,347
135,2024-06-25 21:23:02.400,DESLIGAR_BOMBA,Sintetico,Nublado,70.89,9.5,317
136,2024-06-25 22:15:36.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,84.0,12.15,708
137,2024-06-25 23:08:09.600,DESLIGAR_BOMBA,Sintetico,Nublado,79.77,14.84,603
138,2024-06-26 00:00:43.200,LIGAR_BOMBA,Sintetico,Céu Limpo,71.25,14.05,326
139,2024-06-26 00:53:16.800,DESLIGAR_BOMBA,Sintetico,Chuvoso,89.53,10.89,303
140,2024-06-26 01:45:50.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,87.6,10.86,547
141,2024-06-26 02:38:24.000,DESLIGAR_BOMBA,Sintetico,Chuvoso,88.38,10.18,601
142,2024-06-26 03:30:57.600,LIGAR_BOMBA,Sintetico,Nublado,71.49,14.78,432
143,2024-06-26 04:23:31.200,LIGAR_BOMBA,Sintetico,Céu Limpo,77.18,15.53,422
144,2024-06-26 05:16:04.800,LIGAR_BOMBA,Sintetico,Céu Limpo,72.22,16.32,382
145,2024-06-26 06:08:38.400,LIGAR_BOMBA,Sintetico,Céu Limpo,69.89,15.66,744
146,2024-06-26 07:01:12.000,LIGAR_BOMBA,Sintetico,Céu Limpo,75.46,16.55,401
147,2024-06-26 07:53:45.600,LIGAR_BOMBA,Sintetico,Céu Limpo,77.02,12.98,730
148,2024-06-26 08:46:19.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,87.66,14.94,353
149,2024-06-26 09:38:52.800,DESLIGAR_BOMBA,Sintetico,Nublado,78.32,11.97,332
150,2024-06-26 10:31:26.400,LIGAR_BOMBA,Sintetico,Nublado,74.22,13.53,293
151,2024-06-26 11:24:00.000,LIGAR_BOMBA,Sintetico,Céu Limpo,76.6,14.88,201
152,2024-06-26 12:16:33.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,89.11,11.82,793
153,2024-06-26 13:09:07.200,DESLIGAR_BOMBA,Sintetico,Nublado,83.52,13.18,541
154,2024-06-26 14:01:40.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,89.72,16.09,701
155,2024-06-26 14:54:14.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,88.29,12.3,588
156,2024-06-26 15:46:48.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,89.53,15.03,526
157,2024-06-26 16:39:21.600,DESLIGAR_BOMBA,Sintetico,Chuvoso,88.15,9.0,801
158,2024-06-26 17:31:55.200,DESLIGAR_BOMBA,Sintetico,Nublado,74.85,10.73,532
159,2024-06-26 18:24:28.800,DESLIGAR_BOMBA,Sintetico,Chuvoso,89.67,10.2,201
160,2024-06-26 19:17:02.400,DESLIGAR_BOMBA,Sintetico,Nublado,78.76,12.2,498
161,2024-06-26 20:09:36.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,82.72,15.59,385
162,2024-06-26 21:02:09.600,LIGAR_BOMBA,Sintetico,Céu Limpo,75.16,14.35,318
163,2024-06-26 21:54:43.200,LIGAR_BOMBA,Sintetico,Nublado,75.36,13.84,319
164,2024-06-26 22:47:16.800,DESLIGAR_BOMBA,Sintetico,Chuvoso,89.31,10.71,578
165,2024-06-26 23:39:50.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,75.18,11.73,253
166,2024-06-27 00:32:24.000,DESLIGAR_BOMBA,Sintetico,Chuvoso,87.58,12.15,694
167,2024-06-27 01:24:57.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,79.98,11.16,621
168,2024-06-27 02:17:31.200,LIGAR_BOMBA,Sintetico,Nublado,71.24,12.62,454
169,2024-06-27 03:10:04.800,LIGAR_BOMBA,Sintetico,Céu Limpo,71.27,15.04,469
170,2024-06-27 04:02:38.400,DESLIGAR_BOMBA,Sintetico,Nublado,84.28,11.38,388
171,2024-06-27 04:55:12.000,LIGAR_BOMBA,Sintetico,Nublado,76.61,14.95,358
172,2024-06-27 05:47:45.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,86.19,16.4,774
173,2024-06-27 06:40:19.200,LIGAR_BOMBA,Sintetico,Nublado,76.98,14.62,423
174,2024-06-27 07:32:52.800,DESLIGAR_BOMBA,Sintetico,Chuvoso,86.66,11.37,612
175,2024-06-27 08:25:26.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,82.73,12.39,521
176,2024-06-27 09:18:00.000,DESLIGAR_BOMBA,Sintetico,Nublado,77.5,11.79,635
177,2024-06-27 10:10:33.600,DESLIGAR_BOMBA,Sintetico,Nublado,72.99,10.74,544
178,2024-06-27 11:03:07.200,LIGAR_BOMBA,Sintetico,Céu Limpo,73.23,15.33,660
179,2024-06-27 11:55:40.800,DESLIGAR_BOMBA,Sintetico,Nublado,83.16,13.54,523
180,2024-06-27 12:48:14.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,89.73,9.33,657
181,2024-06-27 13:40:48.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,81.91,12.04,757
182,2024-06-27 14:33:21.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,85.74,14.18,701
183,2024-06-27 15:25:55.200,DESLIGAR_BOMBA,Sintetico,Nublado,78.88,10.55,513
184,2024-06-27 16:18:28.800,DESLIGAR_BOMBA,Sintetico,Nublado,76.62,9.5,542
185,2024-06-27 17:11:02.400,DESLIGAR_BOMBA,Sintetico,Nublado,71.5,9.22,373
186,2024-06-27 18:03:36.000,LIGAR_BOMBA,Sintetico,Céu Limpo,76.97,16.72,382
187,2024-06-27 18:56:09.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,86.0,16.34,651
188,2024-06-27 19:48:43.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,78.45,11.84,400
189,2024-06-27 20:41:16.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,71.64,11.63,521
190,2024-06-27 21:33:50.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,89.07,11.21,587
191,2024-06-27 22:26:24.000,DESLIGAR_BOMBA,Sintetico,Chuvoso,88.67,9.98,346
192,2024-06-27 23:18:57.600,DESLIGAR_BOMBA,Sintetico,Chuvoso,88.48,10.34,227
193,2024-06-28 00:11:31.200,DESLIGAR_BOMBA,Sintetico,Chuvoso,88.27,11.34,383
194,2024-06-28 01:04:04.800,DESLIGAR_BOMBA,Sintetico,Nublado,72.44,11.48,773
195,2024-06-28 01:56:38.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,84.76,14.01,318
196,2024-06-28 02:49:12.000,DESLIGAR_BOMBA,Sintetico,Nublado,80.53,12.67,727
197,2024-06-28 03:41:45.600,LIGAR_BOMBA,Sintetico,Céu Limpo,77.64,15.42,562
198,2024-06-28 04:34:19.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,84.19,12.9,386
199,2024-06-28 05:26:52.800,LIGAR_BOMBA,Sintetico,Nublado,70.19,12.11,423
200,2024-06-28 06:19:26.400,DESLIGAR_BOMBA,Sintetico,Nublado,81.22,10.04,249
201,2024-06-28 07:12:00.000,DESLIGAR_BOMBA,Sintetico,Nublado,80.44,14.05,703
202,2024-06-28 08:04:33.600,LIGAR_BOMBA,Sintetico,Céu Limpo,70.35,15.97,287
203,2024-06-28 08:57:07.200,LIGAR_BOMBA,Sintetico,Céu Limpo,69.75,15.49,409
204,2024-06-28 09:49:40.800,DESLIGAR_BOMBA,Sintetico,Nublado,74.5,11.11,455
205,2024-06-28 10:42:14.400,DESLIGAR_BOMBA,Sintetico,Nublado,80.3,10.73,406
206,2024-06-28 11:34:48.000,LIGAR_BOMBA,Sintetico,Céu Limpo,75.2,13.92,365
207,2024-06-28 12:27:21.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.25,12.45,781
208,2024-06-28 13:19:55.200,LIGAR_BOMBA,Sintetico,Céu Limpo,77.2,14.95,789
209,2024-06-28 14:12:28.800,DESLIGAR_BOMBA,Sintetico,Chuvoso,85.54,8.55,461
210,2024-06-28 15:05:02.400,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.75,15.46,591
211,2024-06-28 15:57:36.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.57,14.7,620
212,2024-06-28 16:50:09.600,DESLIGAR_BOMBA,Sintetico,Chuvoso,89.64,13.49,591
213,2024-06-28 17:42:43.200,DESLIGAR_BOMBA,Sintetico,Nublado,74.61,11.36,498
214,2024-06-28 18:35:16.800,DESLIGAR_BOMBA,Sintetico,Nublado,84.28,9.52,375
215,2024-06-28 19:27:50.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,85.46,9.76,770
216,2024-06-28 20:20:24.000,DESLIGAR_BOMBA,Sintetico,Nublado,75.7,10.22,262
217,2024-06-28 21:12:57.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,74.12,11.91,489
218,2024-06-28 22:05:31.200,LIGAR_BOMBA,Sintetico,Céu Limpo,75.27,13.51,210
219,2024-06-28 22:58:04.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,86.66,13.88,382
220,2024-06-28 23:50:38.400,LIGAR_BOMBA,Sintetico,Céu Limpo,70.49,15.52,320
221,2024-06-29 00:43:12.000,LIGAR_BOMBA,Sintetico,Nublado,77.44,13.88,548
222,2024-06-29 01:35:45.600,LIGAR_BOMBA,Sintetico,Céu Limpo,76.27,12.07,257
223,2024-06-29 02:28:19.200,LIGAR_BOMBA,Sintetico,Céu Limpo,72.78,12.73,570
224,2024-06-29 03:20:52.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.05,16.09,745
225,2024-06-29 04:13:26.400,DESLIGAR_BOMBA,Sintetico,Nublado,81.05,11.98,577
226,2024-06-29 05:06:00.000,LIGAR_BOMBA,Sintetico,Nublado,74.21,12.65,230
227,2024-06-29 05:58:33.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,80.78,16.93,642
228,2024-06-29 06:51:07.200,DESLIGAR_BOMBA,Sintetico,Chuvoso,86.34,12.48,289
229,2024-06-29 07:43:40.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,89.66,15.16,484
230,2024-06-29 08:36:14.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,85.16,12.15,764
231,2024-06-29 09:28:48.000,LIGAR_BOMBA,Sintetico,Nublado,74.79,12.97,368
232,2024-06-29 10:21:21.600,DESLIGAR_BOMBA,Sintetico,Nublado,84.32,15.15,724
233,2024-06-29 11:13:55.200,DESLIGAR_BOMBA,Sintetico,Céu Limpo,88.99,13.97,726
234,2024-06-29 12:06:28.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,79.99,14.61,613
235,2024-06-29 12:59:02.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,87.05,9.78,750
236,2024-06-29 13:51:36.000,LIGAR_BOMBA,Sintetico,Céu Limpo,76.26,16.35,760
237,2024-06-29 14:44:09.600,DESLIGAR_BOMBA,Sintetico,Nublado,77.23,10.85,798
238,2024-06-29 15:36:43.200,LIGAR_BOMBA,Sintetico,Céu Limpo,74.87,14.49,533
239,2024-06-29 16:29:16.800,LIGAR_BOMBA,Sintetico,Céu Limpo,75.23,13.61,405
240,2024-06-29 17:21:50.400,DESLIGAR_BOMBA,Sintetico,Chuvoso,89.43,9.36,474
241,2024-06-29 18:14:24.000,DESLIGAR_BOMBA,Sintetico,Nublado,71.48,10.36,517
242,2024-06-29 19:06:57.600,DESLIGAR_BOMBA,Sintetico,Chuvoso,89.14,13.48,263
243,2024-06-29 19:59:31.200,DESLIGAR_BOMBA,Sintetico,Chuvoso,86.11,12.3,672
244,2024-06-29 20:52:04.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,84.07,11.72,396
245,2024-06-29 21:44:38.400,DESLIGAR_BOMBA,Sintetico,Nublado,78.69,11.36,488
246,2024-06-29 22:37:12.000,DESLIGAR_BOMBA,Sintetico,Chuvoso,87.09,8.4,433
247,2024-06-29 23:29:45.600,DESLIGAR_BOMBA,Sintetico,Nublado,83.09,13.48,742
248,2024-06-30 00:22:19.200,LIGAR_BOMBA,Sintetico,Céu Limpo,74.73,12.86,757
249,2024-06-30 01:14:52.800,DESLIGAR_BOMBA,Sintetico,Nublado,74.95,11.45,283
250,2024-06-30 02:07:26.400,DESLIGAR_BOMBA,Sintetico,Nublado,79.82,10.34,674
251,2024-06-30 03:00:00.000,DESLIGAR_BOMBA,Sintetico,Céu Limpo,83.96,11.9,338
252,2024-06-30 03:52:33.600,DESLIGAR_BOMBA,Sintetico,Céu Limpo,79.76,14.87,652
253,2024-06-30 04:45:07.200,LIGAR_BOMBA,Sintetico,Nublado,77.33,14.67,592
254,2024-06-30 05:37:40.800,DESLIGAR_BOMBA,Sintetico,Céu Limpo,78.21,13.25,447
255,2024-06-30 06:30:14.400,DESLIGAR_BOMBA,Sintetico,Nublado,77.53,11.77,401
256,2024-06-30 07:22:48.000,DESLIGAR_BOMBA,Sintetico,Nublado,82.83,13.55,244
257,2024-06-30 08:15:21.600,LIGAR_BOMBA,Sintetico,Céu Limpo,73.34,15.27,541
258,2024-06-30 09:07:55.200,LIGAR_BOMBA,Sintetico,Céu Limpo,73.68,13.08,683
259,2024-06-30 10:00:28.800,LIGAR_BOMBA,Sintetico,Céu Limpo,71.0,14.23,794
